Unit,Bucks,Does,Fawns,Antlerless,Total Harvest,Total Hunters,Percent Success,Total Rec. Days,Category,gmu_area_sqmi,public_sqmi,percent_public,latitude,longitude,Acres,Acres Public,harvestunit,Hunters Density Per Sq. Mile,Hunters Density Per Public Sq. Mile,onx,Tags
11,16,15,2,17,32,42,78,99,All manners of take,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All manners of take,40,60,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
11,13,10,0,10,23,24,96,39,All Rifle Seasons,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Rifle Seasons,22.9,34.3,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
11,10,10,0,10,20,20,100,25,All Regular Rifle Seasons,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Regular Rifle Seasons,19.1,28.6,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
11,0,5,0,5,5,10,50,42,All Archery Seasons,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Archery Seasons,9.5,14.3,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
11,3,0,2,2,4,8,56,19,All Muzzleloader Seasons,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Muzzleloader Seasons,7.6,11.4,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
11,3,0,0,0,3,4,75,14,All Ranching for Wildlife Seasons,"1,050",  700,67%,40.301233903831125,-108.2265606800728,"  671,824","  447,886",11 All Ranching for Wildlife Seasons,3.8,5.7,https://webmap.onxmaps.com/hunt/map#9.45/40.3012339038311/-108.226560680073,"AF011O1A,AF011O1M,AF011O1R,AF011W2R,AM011O1A,AM011O1M,AM011O1R,AM011W2R"
12,5,3,0,3,8,11,67,24,All manners of take,  846,  441,52%,40.21434540864836,-107.4903697865117,"  541,163","  282,387",12 All manners of take,13,24.9,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512,"AE211W1R,AF012O1A,AF012O1M,AF012O1R,AF012P5R,AF211W1R,AM012O1A,AM012O1M,AM012O1R,AM012P5R"
12,5,3,0,3,8,8,100,8,All Rifle Seasons,  846,  441,52%,40.21434540864836,-107.4903697865117,"  541,163","  282,387",12 All Rifle Seasons,9.5,18.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512,"AE211W1R,AF012O1A,AF012O1M,AF012O1R,AF012P5R,AF211W1R,AM012O1A,AM012O1M,AM012O1R,AM012P5R"
12,5,3,0,3,8,8,100,8,All Regular Rifle Seasons,  846,  441,52%,40.21434540864836,-107.4903697865117,"  541,163","  282,387",12 All Regular Rifle Seasons,9.5,18.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512,"AE211W1R,AF012O1A,AF012O1M,AF012O1R,AF012P5R,AF211W1R,AM012O1A,AM012O1M,AM012O1R,AM012P5R"
12,0,0,0,0,0,4,0,16,All Archery Seasons,  846,  441,52%,40.21434540864836,-107.4903697865117,"  541,163","  282,387",12 All Archery Seasons,4.7,9.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512,"AE211W1R,AF012O1A,AF012O1M,AF012O1R,AF012P5R,AF211W1R,AM012O1A,AM012O1M,AM012O1R,AM012P5R"
12,5,3,0,3,8,8,100,8,All Private Land Only Seasons,  846,  441,52%,40.21434540864836,-107.4903697865117,"  541,163","  282,387",12 All Private Land Only Seasons,9.5,18.1,https://webmap.onxmaps.com/hunt/map#9.45/40.2143454086484/-107.490369786512,"AE211W1R,AF012O1A,AF012O1M,AF012O1R,AF012P5R,AF211W1R,AM012O1A,AM012O1M,AM012O1R,AM012P5R"
13,4,0,0,0,4,22,18,43,All manners of take,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All manners of take,35.2,333.2,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
13,4,0,0,0,4,13,31,26,All Rifle Seasons,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Rifle Seasons,20.8,196.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
13,4,0,0,0,4,13,31,26,All Regular Rifle Seasons,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Regular Rifle Seasons,20.8,196.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
13,0,0,0,0,0,6,0,14,All Archery Seasons,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Archery Seasons,9.6,90.9,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
13,0,0,0,0,0,3,0,3,All Muzzleloader Seasons,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Muzzleloader Seasons,4.8,45.4,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
13,4,0,0,0,4,4,100,5,All Private Land Only Seasons,  625,   66,11%,40.41797950603164,-107.32122641638192,"  400,229","   42,261",13 All Private Land Only Seasons,6.4,60.6,https://webmap.onxmaps.com/hunt/map#9.45/40.4179795060316/-107.321226416382,"AF011W2R,AM011W2R,AM013O1A,AM013O1M,AM013O1R,AM013P5R"
14,0,0,0,0,0,8,0,69,All manners of take,  711,  608,86%,40.64805223700346,-106.78235398060852,"  454,811","  389,164",14 All manners of take,11.3,13.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6480522370035/-106.782353980609,AE000U1A
14,0,0,0,0,0,8,0,69,All Archery Seasons,  711,  608,86%,40.64805223700346,-106.78235398060852,"  454,811","  389,164",14 All Archery Seasons,11.3,13.2,https://webmap.onxmaps.com/hunt/map#9.45/40.6480522370035/-106.782353980609,AE000U1A
15,7,0,0,0,7,14,50,42,All manners of take,  843,  550,65%,40.14756246676384,-106.73103073997014,"  539,743","  351,922",15 All manners of take,16.6,25.5,https://webmap.onxmaps.com/hunt/map#9.45/40.1475624667638/-106.73103073997,"AE000U1A,AF015O1R,AM015O1R"
